"Season","Week","coach","team","tie","PF","PA","awin","win","pywin"
1966,13,"Joe Kuharich","PHI",0,27,23,1,1,0.59387601664352
1966,13,"George Allen","LA",0,23,3,1,1,0.992056374625612
1966,14,"Vince Lombardi","GB",0,14,10,1,1,0.689426435028703
1966,14,"Norb Hecker","ATL",0,16,10,1,1,0.75285707722682
1966,14,"Jack Christiansen","SF",0,41,14,1,1,0.927344762367681
1966,14,"Joe Kuharich","PHI",0,33,21,1,1,0.744825957164193
1966,14,"Otto Graham","WAS",0,34,31,1,1,0.554513638182668
1966,14,"Bill Austin","PIT",0,47,28,1,1,0.773385120084236
1966,14,"Norm Van Brocklin","MIN",0,28,16,1,1,0.790226198531514
1966,15,"Blanton Collier","CLE",0,38,10,1,1,0.959454983724982
1966,15,"Bill Austin","PIT",0,57,33,1,1,0.785044366684277
1966,15,"George Halas","CHI",0,41,28,1,1,0.711738211654791
1966,15,"Don Shula","IND",0,30,14,1,1,0.858910698558199
1966,15,"Tom Landry","DAL",0,17,7,1,1,0.891185555363331
1966,15,"Vince Lombardi","GB",0,27,23,1,1,0.59387601664352
1966,15,"Joe Kuharich","PHI",0,37,28,1,1,0.659384099056429
1967,1,"Don Shula","IND",0,38,31,1,1,0.618345006836576
1967,1,"Bill Austin","PIT",0,41,13,1,1,0.938326048180747
1967,1,"Tom Landry","DAL",0,21,14,1,1,0.723312432175503
1967,1,"Allie Sherman","NYG",0,37,20,1,1,0.811225052592654
1967,1,"Vince Lombardi","GB",1,17,17,0,0.5,0.5
1967,1,"Jack Christiansen","SF",0,27,21,1,1,0.644652492448271
1967,1,"George Allen","LA",0,27,13,1,1,0.849694041724121
1967,1,"Joe Kuharich","PHI",0,35,24,1,1,0.709753533596201
1967,2,"George Allen","LA",0,39,3,1,1,0.997714608613226
1967,2,"Jack Christiansen","SF",0,38,7,1,1,0.982176831367129
1967,2,"Vince Lombardi","GB",0,13,10,1,1,0.650628571366676
1967,2,"Joe Schmidt","DET",0,31,14,1,1,0.868068044570176
1967,2,"Don Shula","IND",0,38,6,1,1,0.987563551033592
1967,2,"Charley Winner","ARI",0,28,14,1,1,0.837909980755396
1967,2,"Tom Landry","DAL",0,38,24,1,1,0.748210629257221
1967,2,"Otto Graham","WAS",0,30,10,1,1,0.931100039727795
1967,3,"Vince Lombardi","GB",0,23,0,1,1,1
1967,3,"George Halas","CHI",0,17,7,1,1,0.891185555363331
1967,3,"Blanton Collier","CLE",0,42,7,1,1,0.985887341676703
1967,3,"Don Shula","IND",0,41,7,1,1,0.985070274310467
1967,3,"Charley Winner","ARI",0,38,28,1,1,0.673433249228415
1967,3,"George Allen","LA",0,35,13,1,1,0.912714990534126
1967,3,"Otto Graham","WAS",0,38,34,1,1,0.565522213101268
1967,3,"Joe Kuharich","PHI",0,34,24,1,1,0.695399806461721
1967,4,"Blanton Collier","CLE",0,21,10,1,1,0.853008093340153
