Head_Coach,Coach,weight,group,lrole
Joe Gibbs,Steve Wilks,1,aDC,aDC
Joe Kuharich,Fred Bruney,3,aDC,aDC
Joe Philbin,Dan Campbell,4,aOC,aOC
Joe Philbin,Zac Taylor,4,aOC,aOC
Joe Schmidt,Chuck Knox,6,aOC,aOC
Joe Schmidt,John North,6,aOC,aOC
Joe Schmidt,Leeman Bennett,1,aOC,aOC
Joe Thomas,Pete McCulley,1,aOC,aOC
Joe Walton,Bud Carson,4,DC,DC
Joe Walton,Rich Kotite,7,OC,OC
John Fox,Adam Gase,5,OC,OC
John Fox,Brandon Staley,1,aDC,aDC
John Fox,Dennis Allen,1,DC,DC
John Fox,Jack Del Rio,1,DC,DC
John Fox,Mike McCoy,11,aOC,OC
John Fox,Vic Fangio,3,DC,DC
John Harbaugh,Chuck Pagano,4,aDC,DC
John Harbaugh,David Culley,6,aOC,aOC
John Harbaugh,Hue Jackson,2,aOC,aOC
John Harbaugh,Mike Pettine,1,aDC,aDC
John Harbaugh,Rex Ryan,2,DC,DC
John Harbaugh,Vic Fangio,2,aDC,aDC
John Mackovic,Bud Carson,1,DC,DC
John Mackovic,Frank Gansz,2,aSTC,aSTC
John Mackovic,Richard Williamson,4,aOC,aOC
John Madden,John Robinson,1,aOC,aOC
John Madden,Tom Flores,7,aOC,aOC
John Mazur,Sam Rutigliano,2,aOC,aOC
John McKay,Joe Gibbs,1,OC,OC
John McKay,Wayne Fontes,9,aDC,DC
John McVay,Lindy Infante,2,aOC,aOC
John McVay,Marty Schottenheimer,2,aDC,DC
John Rauch,Bill Walsh,1,aOC,aOC
John Rauch,John Madden,2,aDC,aDC
John Robinson,Jeff Fisher,1,DC,DC
John Robinson,Norv Turner,10,aOC,aOC
John Sandusky,Hank Bullough,1,aDC,aDC
John Sandusky,Red Miller,1,aOC,aOC
Jon Gruden,Bill Callahan,8,aOC,OC
Jon Gruden,Gus Bradley,3,aDC,aDC
Jon Gruden,Jay Gruden,7,aOC,aOC
Jon Gruden,Kyle Shanahan,2,aOC,aOC
Jon Gruden,Marc Trestman,1,aOC,aOC
Jon Gruden,Mike Tomlin,4,aDC,aDC
Jon Gruden,Raheem Morris,6,aDC,aDC
Jon Gruden,Rod Marinelli,8,aDC,aHC
Jon Gruden,Sean McVay,1,aOC,aOC
Josh McDaniels,Adam Gase,2,aOC,aOC
Josh McDaniels,Mike McCoy,2,OC,OC
Kay Stephenson,Dick Jauron,1,aDC,aDC
Kay Stephenson,Hank Bullough,1,DC,DC
Kay Stephenson,Pete Carroll,1,aDC,aDC
Ken Whisenhunt,Arthur Smith,2,aOC,aOC
Ken Whisenhunt,Frank Reich,1,aOC,aOC
Ken Whisenhunt,Freddie Kitchens,6,aOC,aOC
Ken Whisenhunt,Todd Haley,2,OC,OC
Kyle Shanahan,Robert Saleh,4,DC,DC
Lane Kiffin,Tom Cable,2,aOC,aOC
Leeman Bennett,Jerry Glanville,6,DC,DC
Les Steckel,Jerry Burns,1,OC,OC
Leslie Frazier,Kevin Stefanski,4,aOC,aOC
Lindy Infante,Dick Jauron,4,aDC,aDC
Lou Holtz,Dan Henning,2,aOC,aOC
Lou Holtz,Walt Michaels,1,DC,DC
Lou Saban,Dick MacPherson,4,aDC,aDC
Lou Saban,Jim Ringo,4,aOC,aOC
Lou Saban,Sam Rutigliano,4,aOC,aOC
Lovie Smith,Dirk Koetter,1,OC,OC
Lovie Smith,Ron Rivera,3,DC,DC
Lovie Smith,Steve Wilks,3,aDC,aDC
Marion Campbell,Al Groh,2,aOC,aSTC
Marion Campbell,Frank Gansz,6,aOC,aSTC
Marion Campbell,Fred Bruney,8,aDC,aHC
Marion Campbell,Tom Coughlin,2,aOC,aOC
Marty Schottenheimer,Bill Cowher,7,DC,DC
Marty Schottenheimer,Bruce Arians,4,aOC,aOC
Marty Schottenheimer,Cam Cameron,5,OC,OC
Marty Schottenheimer,Gunther Cunningham,4,DC,DC
Marty Schottenheimer,Herm Edwards,6,aDC,aDC
Marty Schottenheimer,Hue Jackson,1,aOC,aOC
Marty Schottenheimer,Lindy Infante,2,OC,OC
