"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Bill Walsh","Mike Holmgren",3,"aOC",3,"aOC",92,97.4,152,"SF","SF",1979,1988,1986,1988,3,1,1,1,1,0,1,0
"Bill Walsh","Mike White",1,"aOC",1,"aOC",92,97.4,152,"SF","SF",1979,1988,1979,1979,1,1,1,1,1,0,1,0
"Bill Walsh","Ray Rhodes",8,"aDC",8,"aDC",92,97.4,152,"SF","SF",1979,1988,1981,1988,8,1,1,1,2,0,2,0
"Bill Walsh","Sam Wyche",4,"aOC",4,"aOC",92,97.4,152,"SF","SF",1979,1988,1979,1982,4,1,1,1,1,0,1,0
"Blanton Collier","Nick Skorich",5,"OC",3,"OC",45,44.12,70,"CLE","CLE",1966,1970,1966,1970,5,1,1,1,1,1,1,1
"Bob Hollway","Leeman Bennett",1,"aOC",1,"aOC",8,9.04,28,"ARI","ARI",1971,1972,1971,1971,1,1,0,0,1,0,1,0
"Bobby Petrino","Hue Jackson",1,"OC",1,"OC",3,3.03,13,"ATL","ATL",2007,2007,2007,2007,1,1,0,0,1,1,1,1
"Bobby Petrino","Mike Zimmer",1,"DC",1,"DC",3,3.03,13,"ATL","ATL",2007,2007,2007,2007,1,1,0,0,2,1,2,1
"Bobby Ross","Gary Moeller",3,"aDC",3,"aDC",74,72.09,137,"LAC","DET",1992,2000,1997,1999,3,1,1,1,2,0,2,0
"Bobby Ross","Jim Zorn",3,"aOC",3,"aOC",74,72.09,137,"LAC","DET",1992,2000,1998,2000,3,1,1,1,1,0,1,0
"Bobby Ross","John Fox",2,"aDC",2,"aDC",74,72.09,137,"LAC","DET",1992,2000,1992,1993,2,1,1,1,2,0,2,0
"Bobby Ross","Marc Trestman",1,"aOC",1,"aOC",74,72.09,137,"LAC","DET",1992,2000,1997,1997,1,1,1,1,1,0,1,0
"Brad Childress","Kevin Stefanski",5,"aC",3,"aOC",39,40.37,74,"MIN","MIN",2006,2010,2006,2010,5,1,1,1,3,0,1,0
"Brad Childress","Leslie Frazier",7,"DC",4,"DC",39,40.37,74,"MIN","MIN",2006,2010,2007,2010,4,1.75,1,1,2,1,2,1
"Brad Childress","Mike Tomlin",1,"DC",1,"DC",39,40.37,74,"MIN","MIN",2006,2010,2006,2006,1,1,1,1,2,1,2,1
"Brian Billick","Jack Del Rio",3,"aDC",3,"aDC",80,84.18,144,"BAL","BAL",1999,2007,1999,2001,3,1,1,1,2,0,2,0
"Brian Billick","Marvin Lewis",3,"DC",3,"DC",80,84.18,144,"BAL","BAL",1999,2007,1999,2001,3,1,1,1,2,1,2,1
"Brian Billick","Mike Nolan",4,"DC",3,"DC",80,84.18,144,"BAL","BAL",1999,2007,2001,2004,4,1,1,1,2,1,2,1
"Brian Billick","Mike Pettine",6,"aDC",4,"aDC",80,84.18,144,"BAL","BAL",1999,2007,2002,2007,6,1,1,1,2,0,2,0
"Brian Billick","Mike Singletary",2,"aDC",2,"aDC",80,84.18,144,"BAL","BAL",1999,2007,2003,2004,2,1,1,1,2,0,2,0
"Brian Billick","Mike Smith",7,"aDC",7,"aDC",80,84.18,144,"BAL","BAL",1999,2007,1999,2002,4,1.75,1,1,2,0,2,0
"Brian Billick","Rex Ryan",9,"aDC",6,"DC",80,84.18,144,"BAL","BAL",1999,2007,1999,2007,9,1,1,1,2,0,2,1
"Brian Billick","Vic Fangio",2,"aDC",2,"aDC",80,84.18,144,"BAL","BAL",1999,2007,2006,2007,2,1,1,1,2,0,2,0
"Bruce Arians","Freddie Kitchens",5,"aOC",5,"aOC",80,76.3,129,"ARI","TB",2013,2021,2013,2017,5,1,1,1,1,0,1,0
"Bruce Arians","Todd Bowles",2,"DC",2,"DC",80,76.3,129,"ARI","TB",2013,2021,2013,2014,2,1,1,1,2,1,2,1
"Bruce Coslet","Dick LeBeau",4,"DC",4,"DC",47,48.34,124,"NYJ","CIN",1990,2000,1997,2000,4,1,0,0,2,1,2,1
"Bruce Coslet","Pete Carroll",4,"DC",4,"DC",47,48.34,124,"NYJ","CIN",1990,2000,1990,1993,4,1,0,0,2,1,2,1
"Bud Carson","Marc Trestman",1,"OC",1,"OC",11,12.23,25,"CLE","CLE",1989,1990,1989,1989,1,1,0,0,1,1,1,1
"Bud Grant","Bob Hollway",4,"aDC",2,"DC",158,157.11,259,"MIN","MIN",1967,1985,1967,1970,4,1,1,1,2,0,2,1
"Bud Grant","Buddy Ryan",2,"aDC",2,"aDC",158,157.11,259,"MIN","MIN",1967,1985,1976,1977,2,1,1,1,2,0,2,0
"Bud Grant","Jack Patera",7,"aDC",7,"aDC",158,157.11,259,"MIN","MIN",1967,1985,1969,1975,7,1,1,1,2,0,2,0
"Bud Grant","Jerry Burns",17,"OC",17,"OC",158,157.11,259,"MIN","MIN",1967,1985,1968,1985,17,1,1,1,1,1,1,1
